가 니가 잘 만들었다고 생각을 하는데,가 너가 잘 만들었다고 생각을 하는데
뭐~ 나도 뭐~ 동의를 하긴 한다만,뭐~ 나도 뭐~ 동의를 하긴 한다만
나는 니 만큼의 그런 공감을 못 느꼈거든.,나는 너 만큼의 그런 공감을 못 느꼈거든.
일단은 서울에서 뭐~ 딱히 나갈 일도 별로 없었고 고,일단은 서울에서 뭐~ 딱히 나갈 일도 별로 없었고 고
그~ 촌인데 비슷한 전후로 왔기 때문에 그~ 촌에서 더 벗어나려고 하는 거 같지도 않고,그~ 촌인데 비슷한 전후로 왔기 때문에 그~ 촌에서 더 벗어나려고 하는 거 같지도 않고
사투리,사투리
친구들이 뭐~,친구들이 뭐~
니가 막 응사에서는 아~,니가 막 응사에서는 아~
응사에서는 막 시켰다고 하잖아 서울 애들이.,응사에서는 막 시켰다고 하잖아 서울 애들이.
나는 뭐~ 친구들이 사투리 내거를 따라했어.,나는 뭐~ 친구들이 사투리 내거를 따라했어.
그~ 충청도 사는,그~ 충청도 사는
자기들 사투리는 안 쓰고 자기는 이제  수도권  이런 이상한 소리를 하면서,자기들 사투리는 안 쓰고 자기는 이제  수도권  이런 이상한 소리를 하면서
서울말 쓰더니 갑자기 내가 멋있어 보인대.,서울말 쓰더니 갑자기 내가 멋있어 보인대.
약간 우리가 경상도 애들이 많았거든,약간 우리가 경상도 애들이 많았거든
그래서 그거 따라하고,그래서 그거 따라하고
그래서 또 내가 또,그래서 또 내가 또
좋아한 드라마가,좋아한 드라마가
아~ 이건 영화겠구나 드라마가 아냐.,아~ 이건 영화겠구나 드라마가 아냐.
그래서 그~ 드라마 중에 좋앙 재미있게 봤던거는 김 과장이라고 그~,그래서 그~ 드라마 중에 좋앙 재미있게 봤던거는 김 과장이라고 그~
남궁민?,남궁민?
그 분이 나오셨던건데 회사에 들어가서,그 분이 나오셨던건데 회사에 들어가서
완전,완전
자기네 양아치?,자기네 양아치?
양아치 생 양아치인데 막 재능이 있어,양아치 생 양아치인데 막 재능이 있어
그래서,그래서
고것도 약간 회계관련 분야였나 봐 그래서 양아친데 재능이 있어서 이렇게,그것도 약간 회계관련 분야였나 봐 그래서 양아친데 재능이 있어서 이렇게
어떻게 어떻게 해서 경력직으로 들어오게 됐어.,어떻게 어떻게 해서 경력직으로 들어오게 됐어.
그래서 약간 비린 게 없으니까 막 철회하고 해서 그렇게 재미있게 해주는 드라마인데,그래서 약간 비린 게 없으니까 막 철회하고 해서 그렇게 재미있게 해주는 드라마인데
그것도 꽤나 재밌게 봤던거 같고,그것도 꽤나 재밌게 봤던거 같고
니는 뭐~ 미드 영드 아까 본댔잖아 뭐 봤어?,너는 뭐~ 미드 영드 아까 본댔잖아 뭐 봤어?
나는 그거 셜록 진짜 재밌게 봤거든?,나는 그거 셜록 진짜 재밌게 봤거든?
셜록을 나는 수능 끝나고 한 번에 다 물어봤어.,셜록을 나는 수능 끝나고 한 번에 다 물어봤어.
짧단 말이야.,짧단 말이야.
그래서 그거 보고 와 진짜,그래서 그거 보고 와 진짜
진짜 너무 와 진 이게 셜록 그~,진짜 너무 와 진 이게 셜록 그~
주인공 차트도 멋있는데 막 그런 막 풀고 사건 해결하고 이런게 너무,주인공 차트도 멋있는데 막 그런 막 풀고 사건 해결하고 이런게 너무
뭔가 이렇게 착착착착했는게 너무 멋있는 거야 막 그런 거 보고,뭔가 이렇게 착착착착했는게 너무 멋있는 거야 막 그런 거 보고
그리고 요즘에는 그~ 가쉽걸 그런 거 본단 말야 그런거,그리고 요즘에는 그~ 가쉽걸 그런 거 본단 말야 그런거
진짜 딱 미국 하이틴 이런 느낌.,진짜 딱 미국 하이틴 이런 느낌.
약간 그런 약간 진짜 정말,약간 그런 약간 진짜 정말
한번도 경험해보지 않은 딱 우리가 생각하기에 미국 하이틴 저럴 것 같아 약간 이런거?,한번도 경험해보지 않은 딱 우리가 생각하기에 미국 하이틴 저럴 것 같아 약간 이런거?
막 그런 가십거리 이런거 보면서,막 그런 가십거리 이런거 보면서
와 진짜 저렇게도 사는구나,와 진짜 저렇게도 사는구나
약간 그런 거 여기는 공감은 아니고 약간 그런 거 보고,약간 그런 거 여기는 공감은 아니고 약간 그런 거 보고
근데 나도 딴 애들만큼 막 그렇게 많이 보지는 않거든?,근데 나도 딴 애들만큼 막 그렇게 많이 보지는 않거든?
요정도?,요정도?
근데 나는,근데 나는
근데 나는 약간 로맨스 물이 좋아.,근데 나는 약간 로맨스 물이 좋아.
그래 약간 너무 생각 많이 해야 하는 드라마는 별로 안 좋아.,그래 약간 너무 생각 많이 해야 하는 드라마는 별로 안 좋아.
그까 그~ 생각 많이 해야 된다는 게 약간,그러니까 그~ 생각 많이 해야 된다는 게 약간
진짜 아예 추리 이런거 아님 아니고,진짜 아예 추리 이런거 아님 아니고
그런 류?,그런 류?
근데 나는 로맨스가 좋기때문에 로맨스물 이런거 보면 좋고 재미있고,근데 나는 로맨스가 좋기때문에 로맨스물 이런거 보면 좋고 재미있고
약간 김과장 그거 안 봤어 뭔지 모르겠어.,약간 김과장 그거 안 봤어 뭔지 모르겠어.
그래서 그런거 안 보고 그~ 약간 난 그런 거였단 말야 공감성 그런 수치 이런거,그래서 그런거 안 보고 그~ 약간 난 그런 거였단 말야 공감성 그런 수치 이런거
그래서 막 드라마 주인공이 막 엄청 뭐~,그래서 막 드라마 주인공이 막 엄청 뭐~
수치스럽거나 안 좋거나 막 이런류의 드라마는 또 안 좋아해.,수치스럽거나 안 좋거나 막 이런류의 드라마는 또 안 좋아해.
내가 보면서 너무 너무 공감 너무 이입해 가지고 너무 싫단 말이야 그럼 보는게.,내가 보면서 너무 너무 공감 너무 이입해 가지고 너무 싫단 말이야 그럼 보는게.
그서 그런 거보다 좀,그래서 그런 거보다 좀
좀 이케 사이다 이런것 더 좋아하지 약간,좀 이렇게 사이다 이런것 더 좋아하지 약간
되게  약간 진짜 공감성수치때문에 진짜 못 보겠고 막 이런 거 때문에,되게  약간 진짜 공감성수치때문에 진짜 못 보겠고 막 이런 거 때문에
그런 거 잘 안 보고,그런 거 잘 안 보고
일일드라마 이런거 그래서 잘 안 봐.,일일드라마 이런거 그래서 잘 안 봐.
막 그럼 물 이렇게 퍽 뿌리고 막 이러는 거 그거 싫어서 그런거 안 보고,막 그럼 물 이렇게 퍽 뿌리고 막 이러는 거 그거 싫어서 그런거 안 보고
그럼 그냥,그럼 그냥
평일 금 월 화 월 화 수 목 금 토 주말 드라마 이런거만 보고,평일 금 월 화 월 화 수 목 금 토 주말 드라마 이런거만 보고
그~ 요즘엔 좀 기다리고 있는 거는 그거,그~ 요즘엔 좀 기다리고 있는 거는 그거
슬기로운 의사생활 그거 빨리 투 나왔으면 좋겠단 말야.,슬기로운 의사생활 그거 빨리 투 나왔으면 좋겠단 말야.
니 그거 봤음 그거 진짜 진짜 겁나 재밌는데,너 그거 봤음 그거 진짜 진짜 굉장히 재밌는데
내 그~ 응답하라랑 같은 제작진이 만든 거라 가지고,나 그~ 응답하라랑 같은 제작진이 만든 거라 가지고
진짜 완전 재밌는데 그래서 그 기다리고 있음 지금 그래서 그거 보고 밴드하고 싶단 생각도 했고 그래서,진짜 완전 재밌는데 그래서 그 기다리고 있음 지금 그래서 그거 보고 밴드하고 싶단 생각도 했고 그래서
지금 기다리고 있는 거는,지금 기다리고 있는 거는
슬기로운 의사생활 투,슬기로운 의사생활 투
그거 기다려 니 그거 봤어?,그거 기다려 너 그거 봤어?
당연히 안 봤지.,당연히 안 봤지.
그~ 또 오에스티되게 유명했었잖아.,그~ 또 오에스티되게 유명했었잖아.
드라마는 안 보고 드라마 오에스티는 진짜 많이 듣는 거 같애.,드라마는 안 보고 드라마 오에스티는 진짜 많이 듣는 거 같애.
그~ 막 술 취한 감성의 그~ 발라드 말고,그~ 막 술 취한 감성의 그~ 발라드 말고
그냥 오에스티중에 아이돌이 부른 것도 좋아하기도 하고,그냥 오에스티중에 아이돌이 부른 것도 좋아하기도 하고
솔직히 말해서 내가 드라마를 그렇게 많이 안 좋아하거든?,솔직히 말해서 내가 드라마를 그렇게 많이 안 좋아하거든?
그래서 내가 딱 드라마를 봤을때,그래서 내가 딱 드라마를 봤을때
몬스타엑스 알아?,몬스타엑스 알아?
몬스타엑스의 그~ 드라마라는 노래가 있거든 되게 유명해 그것부터 떠올렸단 말이야 나는,몬스타엑스의 그~ 드라마라는 노래가 있거든 되게 유명해 그것부터 떠올렸단 말이야 나는
그래서 드라마는 생각보다 감정이입은 정말로 많이 하는데 굳이 찾아서는 안보는 타입이고,그래서 드라마는 생각보다 감정이입은 정말로 많이 하는데 굳이 찾아서는 안보는 타입이고
그~ 슬기로운 의사생활 대충 설명 좀 해줘.,그~ 슬기로운 의사생활 대충 설명 좀 해줘.
그~ 그냥 의사 이야기야.,그~ 그냥 의사 이야기야.
진짜.,진짜.
그런게 없어 좋아 막,그런게 없어 좋아 막
의사하며 막 엄청 막 비장하게 수술하고 막 이런 거 있잖아.,의사하며 막 엄청 막 비장하게 수술하고 막 이런 거 있잖아.
병원장님이 어쩌고저쩌고 막 이런거,병원장님이 어쩌고저쩌고 막 이런거
그런거 아니고 진짜 그냥 일반 의사 다섯명 해가지고 그냥 일상에서 일어나는 뭐~,그런거 아니고 진짜 그냥 일반 의사 다섯명 해가지고 그냥 일상에서 일어나는 뭐~
그냥 연애 이야기도 있고 그냥,그냥 연애 이야기도 있고 그냥
수술 뭐~ 이런것도 하고 환자 얘기도 있고,수술 뭐~ 이런것도 하고 환자 얘기도 있고
그냥 뭐~ 집안 얘기도 있고 그냥 이런 그냥 그냥 진짜 일상이거든?,그냥 뭐~ 집안 얘기도 있고 그냥 이런 그냥 그냥 진짜 일상이거든?
그래서 난 보기 좋은거 같아 요즘은 좀,그래서 난 보기 좋은거 같아 요즘은 좀
그냥 이렇게 막 그냥 보기 편한 드라마 많이 봐.,그냥 이렇게 막 그냥 보기 편한 드라마 많이 봐.
그래서 아까 아까 했던 말이랑 연장선이긴 하지만,그래서 아까 아까 했던 말이랑 연장선이긴 하지만
보면서 찝찝하고 생각해 내고 이런거보다는 좀 아~ 보면서 그냥,보면서 찝찝하고 생각해 내고 이런거보다는 좀 아~ 보면서 그냥
보면서 그냥그냥 넘어가는 이런 드라마 진짜 많이 봐,보면서 그냥그냥 넘어가는 이런 드라마 진짜 많이 봐
드라마 진짜 재미있는데,드라마 진짜 재미있는데
그런거 그런 이야기야 그냥.,그런거 그런 이야기야 그냥.
딱 그런 이야기?,딱 그런 이야기?
그래서 지금 투가 나오길래 기다리고 있고,그래서 지금 투가 나오길래 기다리고 있고
그~ 나는 고 삼 때도 드라마,그~ 나는 고 삼 때도 드라마
진짜 안밀리고 봤단 말야 그거 봤음 그거 뷰티인사이드?,진짜 안밀리고 봤단 말야 그거 봤음 그거 뷰티인사이드?
그거 난 고 삼 때 그거 진짜 고 삼인데도 불구하고 계속 봤고,그거 난 고 삼 때 그거 진짜 고 삼인데도 불구하고 계속 봤고
또 뭐 봤지?,또 뭐 봤지?
아~ 그것도 봤어 김비서가 왜 그럴까?,아~ 그것도 봤어 김비서가 왜 그럴까?
그것도 보고,그것도 보고
난 진짜 드라마 많이 봤는데 니 드라마 생각보다 별로 안보는데 드라마를,난 진짜 드라마 많이 봤는데 너 드라마 생각보다 별로 안보는데 드라마를
별로 안좋아하나봐?,별로 안좋아하나봐?
난 드라마 드라마가 더 좋아.,난 드라마 드라마가 더 좋아.
나는 드라마가 더 뭐라해야되지?,나는 드라마가 더 뭐라해야되지?
쫌 이케 확실히  보이고,조금 이렇게 확실히  보이고
그서 드라마 많이 보고,그래서 드라마 많이 보고
니 그럼 니가 본 드라마 중에 딴 거 뭐 있어?,너 그럼 너가 본 드라마 중에 다른 거 뭐 있어?
가장,가장
가장 내가 알만한거.,가장 내가 알만한거.
드라마를 계속 말하다시피 꾸준히 못 봐서 안 보는거지,드라마를 계속 말하다시피 꾸준히 못 봐서 안 보는거지
보면 또 감수성 감수성이란다.,보면 또 감수성 감수성이란다.
깊게 몰입해서 보는 편이고,깊게 몰입해서 보는 편이고
니가 알만한거 이제 진짜 고대로 흘러와서 꽃보다 남자.,너가 알만한거 이제 진짜 고대로 흘러와서 꽃보다 남자.
상속자들,상속자들
요정도 라고 난 생각을 하고.,요정도 라고 난 생각을 하고.
내가 진짜 보고싶은 드라마가 있을지도 모르겠는데 현재,내가 진짜 보고싶은 드라마가 있을지도 모르겠는데 현재
보고 싶은 드라마는 이제,보고 싶은 드라마는 이제
완전 액션 르 느와르,완전 액션 르 느와르
다 그~ 행님들 머리 탁 깎고와서,다 그~ 행님들 머리 탁 깎고와서
가가 가가 이러면서 탁 크,걔가 걔야 이러면서 탁 크
딱 하고,딱 하고
약간 그 뭐라고 해야 되지?,약간 그 뭐라고 해야 되지?
조폭들이 막와.,조폭들이 막와.
그리고 이 사람은 막,그리고 이 사람은 막
비운의 사고를 당했는데,비운의 사고를 당했는데
그래도 여전히 싸움을 잘해 무시당하다가,그래도 여전히 싸움을 잘해 무시당하다가
저주가 다 깨부수고,저주가 다 깨부수고
그런 영화를 나는,그런 영화를 나는
그런 영화란다 드라마를,그런 영화란다 드라마를
있으면 볼 거 같애.,있으면 볼 거 같애.
